GeneID	Mock.1	Mock.2	Mock.3	RSV.1	RSV.2	RSV.3	Mock.4	P1	P2	P3	P4
VCY1B	0	0	0	0	0	0	0	0	0	0	0
VDAC1	2180	2240	1300	3000	1956	991	1045	10247	5124	9351	4891
VDAC2	1528	1588	709	2866	2123	858	684	6042	4012	5178	2740
VDAC3	2276	2199	1289	2244	1391	672	1442	3556	1862	3390	1510
VDR	518	576	273	757	497	282	256	2857	675	2028	822
VEGFA	3603	3703	1832	7568	5590	3488	2207	7523	35625	6408	4402
VEGFB	613	533	482	532	315	193	442	839	1302	1294	666
VEGFC	101	65	69	139	109	61	57	1190	849	716	344
VENTX	0	0	0	0	1	0	0	0	1	0	0
VENTXP1	0	0	0	0	0	0	0	0	0	0	0
VENTXP7	0	0	0	0	0	0	0	0	0	0	0
VEPH1	21	19	22	20	6	3	21	1	7	11	6
VEZF1	2749	2614	1799	3581	2242	1276	1776	1623	2092	1635	581
VEZT	1316	1362	783	1854	1290	711	949	1863	2315	1862	907
VGF	13	15	10	19	1	3	7	42	95	15	12
VGLL1	4	7	6	39	18	13	7	67	12	21	39
VGLL2	0	0	0	0	0	0	0	1	0	2	0
VGLL3	105	106	64	144	120	37	55	142	69	214	140
VGLL4	1255	1324	1007	2018	1322	719	882	1205	1819	1334	572
VHL	2162	2298	1325	2874	1444	925	1077	1697	2238	1691	883
VHLL	3	0	1	2	0	1	2	0	1	4	0
VIL1	2	1	0	10	1	0	2	1	1	0	0
VILL	3362	3227	2153	5040	2921	1930	1681	1505	931	592	741
VIM	243	217	171	138	81	42	197	808	3012	6529	3902
VIM-AS1	119	125	142	64	32	16	149	14	23	32	25
VIMP	572	597	347	961	574	344	304	1606	8743	1291	780
VIP	0	0	0	2	0	0	0	1	18	1	0
VIPAS39	370	346	267	697	455	241	337	422	502	412	212
VIPR1	179	167	156	337	188	114	191	95	68	215	80
VIPR2	11	14	14	3	3	4	7	0	1	0	0
VIT	8	5	18	1	0	0	16	0	0	3	0
VKORC1	153	169	138	191	152	113	122	1638	959	1987	912
VKORC1L1	847	889	501	1302	823	485	475	2087	1677	1526	662
VLDLR	1257	1622	610	2817	2055	891	614	1571	2820	1464	1009
VLDLR-AS1	93	71	44	110	79	26	70	7	55	4	5
VMA21	1416	1542	776	1335	783	467	668	986	800	856	325
VMAC	194	217	228	220	144	105	280	51	105	54	35
VMO1	81	84	167	329	150	170	106	30	6	7	4
VMP1	2504	3346	1300	5745	4487	2182	1873	2247	2709	2550	1272
VN1R1	21	22	29	28	10	11	31	2	3	6	1
VN1R10P	0	0	0	1	0	0	1	0	0	0	0
VN1R2	0	0	0	0	0	0	0	0	0	0	0
VN1R4	0	0	0	0	0	1	0	0	0	0	0
VN1R5	1	1	1	4	3	2	0	1	0	0	0
VNN1	56	98	55	81	57	19	142	11	1	8	10
VNN2	49	85	54	69	29	19	83	0	1	0	1
VNN3	551	764	486	2174	1389	849	936	0	12	4	8
VOPP1	948	1207	609	1628	1090	421	503	2846	2815	3558	1337
VPRBP	1140	1080	659	1703	1053	637	656	1413	975	1188	528
VPREB1	0	0	0	1	0	0	0	0	0	0	0
VPREB3	4	1	6	7	4	4	2	1	1	3	0
VPS11	690	744	497	1223	703	454	456	787	967	888	412
VPS13A	2995	3211	2364	3346	2422	1164	3299	870	1179	1274	665
VPS13A-AS1	2	3	1	1	1	0	2	0	0	0	0
VPS13B	2337	2574	2106	3362	2165	1159	2689	589	676	688	389
VPS13C	11923	11882	8924	13243	9034	4287	8976	1182	1836	1207	838
VPS13D	5346	5434	3861	9902	6805	3477	4344	1890	2094	2208	1268
VPS16	469	466	379	666	443	251	291	833	421	899	359
VPS18	941	1040	627	1558	937	592	585	1670	1086	1661	899
VPS25	682	577	394	838	448	289	417	2351	1675	2377	1040
VPS26A	1171	1260	597	1689	1450	680	542	2601	5127	2849	1429
VPS26B	1007	1093	721	1406	753	575	670	1607	612	1403	907
VPS28	744	735	534	1091	633	474	467	1353	2503	1438	949
VPS29	760	780	413	1071	772	329	509	2356	1076	2266	1154
VPS33A	529	530	381	767	434	213	355	859	730	710	323
